,Month,Temp (°C),Dew Point Temp (°C),Wind Chill,Rel Hum (%),Stn Press (kPa),Day,Snow,Hmdx,Wind Dir (10s deg),Visibility (km),Wind Spd (km/h),Blowing Snow,Time (LST)_hour_22,Time (LST)_hour_21,Time (LST)_hour_23,Time (LST)_hour_1,Time (LST)_hour_0,Smoke,Time (LST)_hour_10,Time (LST)_hour_11,Time (LST)_hour_20,Time (LST)_hour_8,Time (LST)_hour_18,Time (LST)_hour_12,Time (LST)_hour_16,Time (LST)_hour_7,Time (LST)_hour_14,Rain,Mostly Cloudy,Time (LST)_hour_19,Time (LST)_hour_13,Time (LST)_hour_17,Time (LST)_hour_5,Time (LST)_hour_6,Time (LST)_hour_4,Time (LST)_hour_9,Freezing Rain,Time (LST)_hour_3,Rain Showers,Time (LST)_hour_15,Fog,Time (LST)_hour_2,Snow Showers,Drizzle,Freezing Drizzle,Ice Pellets,Clear,Moderate Snow,Moderate Rain,Heavy Rain Showers,Moderate Rain Showers,Thunderstorms,Haze,Freezing Fog,Snow Grains,Ice Pellet Showers,Meter Reading (KWHr)
0,0.0,0.5309200603318249,0.652754590984975,0.8809523809523809,1.0,0.4089347079037786,0.0,0.0,0.1764705882352941,0.7777777777777777,0.0165975103734439,0.2115384615384615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.991
1,0.0,0.5309200603318249,0.652754590984975,0.8809523809523809,1.0,0.417525773195873,0.0,0.0,0.1764705882352941,0.7222222222222222,0.0165975103734439,0.1923076923076923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.707
2,0.0,0.5309200603318249,0.652754590984975,0.8809523809523809,1.0,0.4278350515463884,0.0,0.0,0.1764705882352941,0.8333333333333333,0.2655601659751037,0.4038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.177
3,0.0,0.5248868778280542,0.646076794657763,0.8809523809523809,1.0,0.4364261168384864,0.0,0.0,0.1764705882352941,0.7777777777777777,0.3360995850622406,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.923
4,0.0,0.5218702865761689,0.6427378964941569,0.8809523809523809,1.0,0.4467353951890018,0.0,0.0,0.1764705882352941,0.7777777777777777,0.4688796680497925,0.4423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.596
5,0.0,0.5173453996983408,0.6377295492487479,0.8809523809523809,1.0,0.4570446735395173,0.0,0.0,0.1764705882352941,0.7777777777777777,0.4688796680497925,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.213
6,0.0,0.5158371040723981,0.6360601001669449,0.8809523809523809,1.0,0.4742268041237096,0.0,0.0,0.1764705882352941,0.7777777777777777,0.4688796680497925,0.3461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.879
7,0.0,0.5158371040723981,0.6343906510851419,0.8809523809523809,0.9876543209876544,0.4931271477663195,0.0,0.0,0.1764705882352941,0.7777777777777777,0.4688796680497925,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.929
8,0.0,0.5143288084464555,0.6310517529215359,0.8809523809523809,0.9876543209876544,0.5103092783505154,0.0,0.0,0.1764705882352941,0.7777777777777777,0.3360995850622406,0.4038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.21
9,0.0,0.5098039215686274,0.6227045075125209,0.8809523809523809,0.9753086419753088,0.5240549828178693,0.0,0.0,0.1764705882352941,0.7222222222222222,0.6680497925311204,0.3461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.748
10,0.0,0.5128205128205128,0.6260434056761269,0.8809523809523809,0.962962962962963,0.5343642611683848,0.0,0.0,0.1764705882352941,0.8055555555555555,0.5352697095435685,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.8
11,0.0,0.5158371040723981,0.6260434056761269,0.8809523809523809,0.9506172839506172,0.5360824742268022,0.0,0.0,0.1764705882352941,0.8333333333333333,1.0,0.2884615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.706
12,0.0,0.5218702865761689,0.6227045075125209,0.8809523809523809,0.9012345679012346,0.5309278350515427,0.0,0.0,0.1764705882352941,0.8055555555555555,1.0,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.431
13,0.0,0.5233785822021115,0.6160267111853088,0.8809523809523809,0.8641975308641976,0.5326460481099637,0.0,0.0,0.1764705882352941,0.7222222222222222,1.0,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.911
14,0.0,0.5203619909502262,0.6143572621035058,0.8809523809523809,0.8641975308641976,0.5360824742268022,0.0,0.0,0.1764705882352941,0.7222222222222222,1.0,0.2692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.881
15,0.0,0.5113122171945701,0.6026711185308848,0.8809523809523809,0.8641975308641976,0.5395189003436407,0.0,0.0,0.1764705882352941,0.8055555555555555,1.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.392
16,0.0,0.5143288084464555,0.5893155258764609,0.8809523809523809,0.7777777777777779,0.5532646048109946,0.0,0.0,0.1764705882352941,0.7777777777777777,1.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.244
17,0.0,0.5037707390648567,0.5909849749582639,0.8809523809523809,0.8395061728395061,0.56357388316151,0.0,0.0,0.1764705882352941,0.75,1.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.65
18,0.0,0.502262443438914,0.5893155258764609,0.8809523809523809,0.8395061728395061,0.56357388316151,0.0,0.0,0.1764705882352941,0.8055555555555555,1.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.597
19,0.0,0.4962292609351432,0.5893155258764609,0.8809523809523809,0.8765432098765433,0.5756013745704465,0.0,0.0,0.1764705882352941,0.611111111111111,1.0,0.0961538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.845
20,0.0,0.4932126696832578,0.5926544240400669,0.8809523809523809,0.9012345679012346,0.5841924398625409,0.0,0.0,0.1764705882352941,0.611111111111111,1.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.354
21,0.0,0.4947209653092005,0.5943238731218699,0.8809523809523809,0.9012345679012346,0.5841924398625409,0.0,0.0,0.1764705882352941,0.5833333333333333,1.0,0.1346153846153846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.974
22,0.0,0.4947209653092005,0.5976627712854758,0.8809523809523809,0.9135802469135804,0.5824742268041234,0.0,0.0,0.1764705882352941,0.5833333333333333,1.0,0.0961538461538461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.582
23,0.0,0.4901960784313725,0.5959933222036728,0.8809523809523809,0.9382716049382716,0.5790378006872814,0.0,0.0,0.1764705882352941,0.4722222222222222,1.0,0.1153846153846153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.109
24,0.0,0.4886877828054298,0.5959933222036728,0.8809523809523809,0.9506172839506172,0.5756013745704465,0.0333333333333333,0.0,0.1764705882352941,0.5277777777777778,1.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.591
25,0.0,0.4901960784313725,0.5926544240400669,0.8809523809523809,0.9259259259259258,0.5790378006872814,0.0333333333333333,0.0,0.1764705882352941,0.5555555555555556,1.0,0.1346153846153846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.39
26,0.0,0.4917043740573151,0.5959933222036728,0.8809523809523809,0.9259259259259258,0.5859106529209619,0.0333333333333333,0.0,0.1764705882352941,0.5,1.0,0.0961538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.834
27,0.0,0.4947209653092005,0.5993322203672788,0.8809523809523809,0.9382716049382716,0.5927835051546388,0.0333333333333333,0.0,0.1764705882352941,0.5277777777777778,1.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.153
28,0.0,0.4932126696832578,0.6010016694490818,0.8809523809523809,0.9382716049382716,0.5876288659793794,0.0333333333333333,0.0,0.1764705882352941,0.5,1.0,0.0961538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.073
29,0.0,0.4917043740573151,0.6060100166944908,0.8809523809523809,0.9753086419753088,0.5859106529209619,0.0333333333333333,1.0,0.1764705882352941,0.5277777777777778,0.2655601659751037,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.01
