,models,fold 1,fold 2,fold 3,fold 4,fold 5,Avg.
0,baseline,20141.47,52954.15,20021.6,37917.91,21459.37,30498.9
1,Random Forest,863.48,946.35,938.29,1008.5,875.96,926.52
2,MLP,1257.16,1308.87,1404.15,1391.37,1272.92,1326.89
